time,seconds_elapsed,z,y,x
1718308881161471500,0.082471435546875,-9.44168797608316,-2.6460493460685015,0.15274165245601906
1718308881211242500,0.132242431640625,-9.43003085603714,-2.6867043048009274,0.16285574431112035
1718308881261014500,0.1820146484375,-9.425494966173172,-2.70452871530503,0.12628744297097436
1718308881310786300,0.231786376953125,-9.436550613194704,-2.6647958398535847,0.14408159533413126
1718308881360557300,0.281557373046875,-9.432800905272364,-2.6775568294882772,0.15276990130296908
1718308881410329300,0.331329345703125,-9.41561420814991,-2.7377985322222114,0.1450975491773337
1718308881460100400,0.381100341796875,-9.408107193520665,-2.7642528239056467,0.1296677787248045
1718308881509872400,0.430872314453125,-9.40393721435964,-2.7787837458223104,0.12130870471033267
1718308881559643400,0.480643310546875,-9.396092930600046,-2.8061867165327072,0.09557195017910562
1718308881609415200,0.530415283203125,-9.409916873291134,-2.7600208854243156,0.07828854208337142
1718308881659186200,0.580186279296875,-9.411686221051216,-2.754179758180678,0.07098210066067986
1718308881708958200,0.629958251953125,-9.414969480505585,-2.7432608892813324,0.05702048479826189
1718308881758729200,0.679729248046875,-9.428453815978765,-2.696563435514271,0.05646670054013375
1718308881808501000,0.7295009765625,-9.428114793282747,-2.69781548140198,0.0531866285566939
1718308881858272000,0.77927197265625,-9.437361345055699,-2.66519682186991,0.0576251681265654
1718308881908044000,0.8290439453125,-9.449546872889995,-2.6160440839052197,0.18101053754705934
1718308881957815300,0.878815185546875,-9.460680845844745,-2.563558986647427,0.3066953110503033
1718308882007587000,0.928587158203125,-9.5084327771008,-2.3293531942792236,0.5781044969249517
1718308882057358000,0.978358154296875,-9.56882440969944,-2.019405932228267,0.7279989249899983
1718308882107130000,1.028130126953125,-9.47228886605203,-2.2331753780283035,1.2079122200150043
1718308882156901000,1.077901123046875,-9.170172882148623,-3.1479531583011147,1.4726508786171675
1718308882206673200,1.127673095703125,-9.06967018843591,-3.466223865930736,1.3772275339953601
1718308882256444200,1.177444091796875,-9.000100977647303,-3.3833386619731782,1.9291414316743611
1718308882306216000,1.2272158203125,-9.026745823466777,-3.7368446413740513,0.8510191554591059
1718308882355987000,1.276987060546875,-9.006409722402692,-3.875077930805087,0.19682656737081705
1718308882405759000,1.326759033203125,-9.010269320440292,-3.8550525031253695,-0.3521427647562697
1718308882455530200,1.3765302734375,-8.983123539361356,-3.81323756070286,-0.9659683076754212
1718308882505301000,1.426301025390625,-8.995116174972058,-3.595765314862132,-1.52602240332067
1718308882555073000,1.476072998046875,-8.98233443481028,-3.4858699389040466,-1.8266798589788376
1718308882604844000,1.525843994140625,-8.955653933155537,-3.378262381622195,-2.1340068555288014
1718308882654616000,1.575615966796875,-8.948376051107049,-3.313862097904086,-2.2616959545917807
1718308882704387000,1.625386962890625,-8.946131487050652,-3.286167158509791,-2.310459400977939
1718308882754159000,1.6751591796875,-9.015162353178859,-3.14783157774806,-2.233470561582595
1718308882803930000,1.72493017578125,-9.061621322014927,-3.036436318621039,-2.199423768943548
1718308882853702100,1.7747021484375,-9.189908679232001,-2.7881343424916265,-1.9855157914556563
1718308882903473200,1.82447314453125,-9.185544054281712,-2.7293907693609594,-2.08484798008427
1718308882953245200,1.8742451171875,-9.187414524328709,-2.706156901028752,-2.1067788029938934
1718308883003016000,1.924015869140625,-9.103957657963036,-2.792382647585869,-2.3432756289087235
1718308883052788000,1.9737880859375,-9.144680128973722,-2.7473724162533877,-2.2354306096091867
1718308883102559000,2.02355908203125,-9.145516579797864,-2.760310223759711,-2.215986781209707
1718308883152331000,2.0733310546875,-9.185454622432589,-2.6775921930626034,-2.1513506429091094
1718308883202102300,2.123102294921875,-9.178611040148139,-2.6471467859163877,-2.21722640600726
1718308883251873000,2.172873046875,-9.195369867247342,-2.6073200947016475,-2.194867128552496
1718308883301645000,2.22264501953125,-9.157090697735548,-2.693770005403459,-2.2498167162276803
1718308883351416000,2.272416015625,-9.065770842909812,-2.8142294454738495,-2.462173080359399
1718308883401188000,2.32218798828125,-9.178151021420955,-2.677443724502623,-2.1824818403624
1718308883450959000,2.371958984375,-9.2902477068156,-2.3617184635721147,-2.0697743295930326
1718308883500731000,2.42173095703125,-9.399308970037103,-2.000634011740982,-1.9546967286914585
1718308883550502100,2.471502197265625,-9.47492155264318,-1.541557095452398,-2.0049568433761595
1718308883600274200,2.521274169921875,-9.551809562012552,-0.9423311192393302,-2.0113015362277626
1718308883650045000,2.571044921875,-9.63557213332653,-0.2025793587438762,-1.812484452626854
1718308883699815700,2.620815673828125,-9.603934301525355,0.2513047564082779,-1.9676570402905345
1718308883749587700,2.670587646484375,-9.512978019315003,0.46980274683386086,-2.3351491672068834
1718308883799358700,2.720358642578125,-9.473445634871721,0.7895009299833327,-2.4085054953187703
1718308883849130800,2.770130859375,-9.40104733813703,0.9362974650982767,-2.629455354142189
1718308883898902000,2.819902099609375,-9.322052127355336,1.1288207092519849,-2.827630194316804
1718308883948674000,2.869674072265625,-9.14464681122601,1.1255377420585602,-3.3584196170330047
1718308883998444800,2.91944482421875,-8.797098278924823,0.9217074334055185,-4.23460682375729
1718308884048216800,2.969216796875,-8.049516993847488,0.8112616570230573,-5.542338942852616
1718308884097987800,3.01898779296875,-6.803310479816794,0.914748481113091,-7.0034694795459504
1718308884147758800,3.0687587890625,-4.419142722418904,1.6818490709789096,-8.59144594247639
1718308884197530600,3.118530517578125,-2.0024077434152363,2.6848969631180166,-9.216943985673785
1718308884247302000,3.168302001953125,-0.26678172700339925,3.864256677061319,-9.009258682093023
