time,seconds_elapsed,bpm
1718308888041509000,6.962509033203125,98
1718308893041509000,11.962509033203125,104
1718308896041509000,14.962509033203125,103
1718308899041509000,17.962509033203126,102
1718308904041509000,22.962509033203126,109
1718308909041509000,27.962509033203126,113
1718308915041509000,33.962509033203126,114
1718308923041509000,41.962509033203126,115
1718308925041509000,43.962509033203126,114
1718308929041509000,47.962509033203126,114
1718308938041509000,56.962509033203126,118
1718308943041509000,61.962509033203126,124.00000000000001
1718308944041509000,62.962509033203126,124.00000000000001
1718308950041509000,68.96250903320312,126
1718308954041509000,72.96250903320312,129
1718308963041509000,81.96250903320312,136
1718308964041509000,82.96250903320312,136
1718308969041509000,87.96250903320312,139.00000000000003
1718308978041509000,96.96250903320312,135
1718308983041509000,101.96250903320312,139.00000000000003
1718308985041509000,103.96250903320312,140
1718308989041509000,107.96250903320312,134
1718308998041509000,116.96250903320312,122.99999999999999
1718309003041509000,121.96250903320312,128
1718309007041509000,125.96250903320312,129
1718309011041509000,129.96250903320313,132
1718309018041509000,136.96250903320313,124.00000000000001
1718309019041509000,137.96250903320313,122.99999999999999
1718309028041509000,146.96250903320313,122.99999999999999
1718309029041509000,147.96250903320313,122.99999999999999
1718309034041509000,152.96250903320313,122
1718309041041509000,159.96250903320313,128
1718309044041509000,162.96250903320313,126
1718309053041509000,171.96250903320313,119
1718309056041509000,174.96250903320313,117
1718309062041509000,180.96250903320313,121
1718309064041509000,182.96250903320313,121
1718309069041509000,187.96250903320313,116
1718309078041509000,196.96250903320313,121
1718309083041509000,201.96250903320313,119
1718309085041509000,203.96250903320313,120
1718309089041509000,207.96250903320313,118
1718309098041509000,216.96250903320313,118
1718309101041509000,219.96250903320313,118
1718309104041509000,222.96250903320313,117
1718309109041509000,227.96250903320313,122.99999999999999
1718309118041509000,236.96250903320313,122
1718309119041509000,237.96250903320313,122.99999999999999
1718309128041509000,246.96250903320313,129
1718309133041509000,251.96250903320313,128
1718309137041509000,255.96250903320313,129
1718309139041509000,257.9625090332031,128
1718309144041509000,262.9625090332031,127
1718309151041509000,269.9625090332031,128
1718309158041509000,276.9625090332031,126
1718309160041509000,278.9625090332031,125.00000000000001
1718309164041509000,282.9625090332031,124.00000000000001
1718309171041509000,289.9625090332031,122
1718309174041509000,292.9625090332031,121
1718309182041509000,300.9625090332031,117
1718309187041509000,305.9625090332031,117
1718309193041509000,311.9625090332031,114
1718309197041509000,315.9625090332031,113
1718309199041509000,317.9625090332031,112
1718309204041509000,322.9625090332031,115
1718309210041509000,328.9625090332031,116
1718309214041509000,332.9625090332031,114
1718309223041509000,341.9625090332031,118
1718309224041509000,342.9625090332031,119
1718309229041509000,347.9625090332031,122.99999999999999
1718309235041509000,353.9625090332031,130
1718309243041509000,361.9625090332031,136
1718309248041509000,366.9625090332031,137
1718309253041509000,371.9625090332031,136
1718309254041509000,372.9625090332031,135
1718309263041509000,381.9625090332031,134
1718309265041509000,383.9625090332031,134
1718309271041509000,389.9625090332031,137
1718309276041509000,394.9625090332031,138
1718309282041509000,400.9625090332031,134
1718309288041509000,406.9625090332031,129
1718309292041509000,410.9625090332031,129
1718309297041509000,415.9625090332031,127
1718309299041509000,417.9625090332031,127
1718309304041509000,422.9625090332031,122
1718309309041509000,427.9625090332031,120
1718309318041509000,436.9625090332031,131
1718309321041509000,439.9625090332031,131
1718309328041509000,446.9625090332031,124.00000000000001
1718309329041509000,447.9625090332031,124.00000000000001
1718309338041509000,456.9625090332031,120
1718309343041509000,461.9625090332031,119
1718309344041509000,462.9625090332031,118
1718309353041509000,471.9625090332031,125.00000000000001
1718309358041509000,476.9625090332031,124.00000000000001
1718309363041509000,481.9625090332031,119
1718309368041509000,486.9625090332031,115
1718309371041509000,489.9625090332031,114
1718309374033281300,492.95428125,115
1718309379033281300,497.95428125,119
1718309384033281300,502.95428125,129
1718309393033281300,511.95428125,135
1718309397033281300,515.95428125,138
1718309402033281300,520.95428125,141
1718309405033281300,523.95428125,141
1718309413033281300,531.95428125,140
1718309417033281300,535.95428125,140
1718309422033281300,540.95428125,139.00000000000003
1718309425033281300,543.95428125,140
1718309431033281300,549.95428125,140
1718309437033281300,555.95428125,142
1718309441033281300,559.95428125,140
1718309445033281300,563.95428125,140
1718309453033281300,571.95428125,136
1718309458033281300,576.95428125,134
1718309459033281300,577.95428125,134
1718309464033281300,582.95428125,132
1718309473033281300,591.95428125,136
1718309476033281300,594.95428125,135
1718309480033281300,598.95428125,132
1718309486033281300,604.95428125,127
1718309489033281300,607.95428125,124.00000000000001
1718309498033281300,616.95428125,121
1718309499033281300,617.95428125,121
1718309507033281300,625.95428125,122
1718309513033281300,631.95428125,122
1718309515033281300,633.95428125,121
1718309519033281300,637.95428125,119
1718309524033281300,642.95428125,126
1718309532033281300,650.95428125,139.00000000000003
1718309537033281300,655.95428125,145
1718309543033281300,661.95428125,148
1718309544033281300,662.95428125,148
1718309550033281300,668.95428125,144
1718309557033281300,675.95428125,142
1718309559033281300,677.95428125,142
1718309564033281300,682.95428125,140
1718309569033281300,687.95428125,141
1718309578033281300,696.95428125,141
1718309581033281300,699.95428125,140
1718309585033281300,703.95428125,138
1718309590033281300,708.95428125,135
1718309594033281300,712.95428125,132
1718309603033281300,721.95428125,131
1718309604033281300,722.95428125,131
1718309613033281300,731.95428125,131
1718309617033281300,735.95428125,131
1718309623033281300,741.95428125,136
1718309628033281300,746.95428125,133
1718309629033281300,747.95428125,132
1718309638033281300,756.95428125,135
1718309640033281300,758.95428125,135
1718309647033281300,765.95428125,129
1718309649033281300,767.95428125,128
1718309656033281300,774.95428125,125.00000000000001
1718309661033281300,779.95428125,129
