time,seconds_elapsed,bpm
1718311097619951400,9.017951416015626,132
1718311099619951400,11.017951416015626,134
1718311107619951400,19.017951416015624,133
1718311111619951400,23.017951416015624,133
1718311117619951400,29.017951416015624,132
1718311121619951400,33.01795141601563,133
1718311123619951400,35.01795141601563,134
1718311130619951400,42.01795141601563,135
1718311135619951400,47.01795141601563,136
1718311139619951400,51.01795141601563,139.00000000000003
1718311145619951400,57.01795141601563,141
1718311150619951400,62.01795141601563,142
1718311157619951400,69.01795141601562,146
1718311159619951400,71.01795141601562,147
1718311167619951400,79.01795141601562,148
1718311168619951400,80.01795141601562,148
1718311173619951400,85.01795141601562,147
1718311182619951400,94.01795141601562,152
1718311186619951400,98.01795141601562,153
1718311192619951400,104.01795141601562,152
1718311197619951400,109.01795141601562,153
1718311199619951400,111.01795141601562,153
1718311203619951400,115.01795141601562,154.00000000000003
1718311212619951400,124.01795141601562,155
1718311216619951400,128.01795141601562,154.00000000000003
1718311221619951400,133.01795141601562,155
1718311225619951400,137.01795141601562,156
1718311230619951400,142.01795141601562,158
1718311237619951400,149.01795141601562,159
1718311239619951400,151.01795141601562,159
1718311245619951400,157.01795141601562,158
1718311251619951400,163.01795141601562,156
1718311255619951400,167.01795141601562,157
1718311261619951400,173.01795141601562,156
1718311267619951400,179.01795141601562,156
1718311270619951400,182.01795141601562,156
1718311275619951400,187.01795141601562,157
1718311278619951400,190.01795141601562,157
1718311286619951400,198.01795141601562,158
1718311288619951400,200.01795141601562,158
1718311296619951400,208.01795141601562,157
1718311301619951400,213.01795141601562,158
1718311307619951400,219.01795141601562,158
1718311312619951400,224.01795141601562,158
1718311315619951400,227.01795141601562,157
1718311320619951400,232.01795141601562,156
1718311327619951400,239.01795141601562,156
1718311328619951400,240.01795141601562,156
1718311336619951400,248.01795141601562,157
1718311338619951400,250.01795141601562,157
1718311346619951400,258.01795141601565,156
1718311349619951400,261.01795141601565,157
1718311356619951400,268.01795141601565,159
1718311362619951400,274.01795141601565,160
1718311364619951400,276.01795141601565,160
1718311368619951400,280.01795141601565,160
1718311376619951400,288.01795141601565,161
1718311378619951400,290.01795141601565,161
1718311386619951400,298.01795141601565,161
1718311389619951400,301.01795141601565,161
1718311397619951400,309.01795141601565,160
1718311399619951400,311.01795141601565,160
1718311405619951400,317.01795141601565,160
1718311411619951400,323.01795141601565,158
1718311413619951400,325.01795141601565,157
1718311422619951400,334.01795141601565,157
1718311425619951400,337.01795141601565,156
1718311432619951400,344.01795141601565,157
1718311435619951400,347.01795141601565,158
1718311440619951400,352.01795141601565,158
1718311447619951400,359.01795141601565,157
1718311449619951400,361.01795141601565,157
1718311456619951400,368.01795141601565,157
1718311462619951400,374.01795141601565,158
1718311464619951400,376.01795141601565,159
1718311470619951400,382.01795141601565,160
1718311477619951400,389.01795141601565,160
