time,seconds_elapsed,z,y,x
1718311088633335000,0.0313349609375,-9.630651628059148,-1.848315059942752,-0.06828103870816994
1718311088683108000,0.081108154296875,-9.72053940425515,-1.2728709413334727,0.24758107797633855
1718311088732880600,0.130880615234375,-9.698924369296432,-1.18846115815714,0.8299473605316132
1718311088782653700,0.18065380859375,-9.49050958239734,-1.9771755408726632,1.4803332498133182
1718311088832426800,0.2304267578125,-9.096003484088182,-3.3462136309325694,1.4953114771060645
1718311088882199800,0.28019970703125,-8.731361193645,-4.4202699728831645,0.628431977757439
1718311088931972900,0.329972900390625,-8.56116186337173,-4.656612923410535,1.0921758629437535
1718311088981746700,0.37974658203125,-8.546224406480789,-4.799495499952137,0.3118969348140061
1718311089031519700,0.429519775390625,-8.608653097864986,-4.692492046043276,-0.20493209588248282
1718311089081292500,0.47929248046875,-8.51876882880032,-4.814896190440654,-0.6463225853655487
1718311089131065600,0.529065673828125,-8.348896830785273,-5.036013222524524,-1.0511342429812998
1718311089180838700,0.578838623046875,-8.293100709283351,-5.100543270102143,-1.1744481956999748
1718311089230611700,0.62861181640625,-8.249799327695369,-5.160646148887277,-1.216112331474945
1718311089280384800,0.678384765625,-8.189214218351244,-5.255452092263102,-1.2195792769331484
1718311089330157800,0.72815771484375,-8.129498877578973,-5.319570636430383,-1.335590432357788
1718311089379930600,0.7779306640625,-8.140034884640574,-5.297665094092488,-1.3582963312931358
1718311089429703700,0.82770361328125,-8.304772442376613,-5.057440041434765,-1.274140961269289
1718311089479476700,0.877476806640625,-8.491510819518565,-4.770049040715396,-1.1451029318153858
1718311089529250600,0.92725048828125,-8.674261003807187,-4.4490366331622,-1.0647343137886374
1718311089579023600,0.977023681640625,-8.733253291001915,-4.363713096141815,-0.926652488592267
1718311089628796700,1.026796630859375,-8.74031373090744,-4.3646956774383785,-0.8524857939455658
1718311089678569700,1.07656982421875,-8.794574897927045,-4.271012892873585,-0.7643864355362952
1718311089728342500,1.126342529296875,-8.848563677746057,-4.165018908268213,-0.7252019877478479
1718311089778115600,1.176115478515625,-8.868982196396589,-4.140435086631775,-0.6069082012787461
1718311089827888400,1.225888427734375,-8.874341093081235,-4.138519316138327,-0.5376915302548557
1718311089877661400,1.275661376953125,-8.91551072333753,-4.051827121113241,-0.5164749565618112
1718311089927434500,1.3254345703125,-8.943639085713029,-3.9929076068937777,-0.48825142671614885
1718311089977208300,1.375208251953125,-8.968431581664085,-3.937003933364153,-0.4874666695466265
1718311090026981600,1.424981689453125,-8.969382014256714,-3.9326735029444095,-0.5046314105655998
1718311090076754700,1.474754638671875,-8.913357344695925,-4.037661233116686,-0.6478682804375887
1718311090126527500,1.524527587890625,-8.912729568186402,-4.0248084735453125,-0.7311315239273011
1718311090176300500,1.574300537109375,-8.769473189896345,-4.296055856454372,-0.9003503917958587
1718311090226073600,1.624073486328125,-8.726914151108264,-4.3451939813718194,-1.0633161906190216
1718311090275846400,1.673846435546875,-8.545310798767208,-4.654112631027401,-1.2195453015983104
1718311090325619500,1.723619384765625,-8.392503917321562,-4.863334642656147,-1.4436878189831972
1718311090375392500,1.773392578125,-8.508817343628406,-4.66102255654633,-1.4301339254051446
1718311090425165300,1.823165283203125,-8.507457745712996,-4.676396359027922,-1.3873942693531511
1718311090474939600,1.872939697265625,-8.548229316562413,-4.605228773131966,-1.374780725365132
1718311090524712400,1.92271240234375,-8.541959150251746,-4.551073404574394,-1.5789381470806896
1718311090574485500,1.972485595703125,-8.567102359336614,-4.459911078397929,-1.6983315653547644
1718311090624258600,2.022258544921875,-8.716429581972957,-4.260215020005405,-1.4299651447094976
1718311090674031600,2.072031494140625,-8.84016585175693,-4.046720153363049,-1.2829301246635616
1718311090723804700,2.1218046875,-8.923388324844836,-3.874534909969568,-1.2375396618418395
1718311090773577700,2.17157763671875,-8.94300195685327,-3.8443192199259992,-1.1892465363811702
1718311090823350800,2.221350830078125,-8.985361089155077,-3.78486223782897,-1.0528498877927661
1718311090873123600,2.27112353515625,-9.054239979591966,-3.6267584190189837,-1.0186963468436152
1718311090922898000,2.32089794921875,-9.103893945077061,-3.52380803989321,-0.9339596698004752
1718311090972670700,2.370670654296875,-9.116156629800797,-3.497642794284224,-0.9124488258685917
1718311091022443800,2.42044384765625,-9.154830936110018,-3.400435342724621,-0.8924681141134351
1718311091072216800,2.470216796875,-9.145760325425863,-3.4208760732069607,-0.9072242230881005
1718311091121989600,2.51998974609375,-9.168004890459775,-3.3650714761376377,-0.8912716708704829
1718311091171762700,2.5697626953125,-9.168147513800859,-3.3482366611927747,-0.951189402347058
1718311091221535700,2.61953564453125,-9.167271315488218,-3.3511578093364833,-0.949346697089821
1718311091271308500,2.66930859375,-9.172706200018524,-3.3302485845595595,-0.9702020727876574
1718311091321081600,2.71908154296875,-9.172458362737297,-3.3179157572090623,-1.0138156621299683
1718311091370856000,2.76885595703125,-9.18604791215062,-3.290322232362628,-0.9801480050016194
1718311091420628700,2.818628662109375,-9.177056796443463,-3.301265358920395,-1.0264793288700282
1718311091470401800,2.86840185546875,-9.183767107737063,-3.2760818178251383,-1.0469447554022073
1718311091520174800,2.9181748046875,-9.17748817359805,-3.2866225010618564,-1.0687410652119667
1718311091569947600,2.96794775390625,-9.211603793689608,-3.2117256655097006,-1.0007777552500368
1718311091619720700,3.017720703125,-9.23465324536562,-3.1584745523154734,-0.9568717588324099
1718311091669493800,3.06749365234375,-9.204899912136792,-3.236378752990067,-0.982881594683975
1718311091719266600,3.1172666015625,-9.133970518910884,-3.38767143048048,-1.1245642208512872
1718311091769039600,3.16703955078125,-9.103751321735977,-3.4698256898149844,-1.1191079282067715
1718311091818812700,3.216812744140625,-9.053907971158623,-3.551775366488099,-1.2577854542739688
1718311091868586500,3.26658642578125,-9.010002778458595,-3.671671327456832,-1.2284408479765057
1718311091918359600,3.316359619140625,-8.974983487525583,-3.730452309988439,-1.3052918863363563
1718311091968132600,3.366132568359375,-8.991327888604998,-3.714219260329008,-1.2373286494396627
1718311092017905400,3.415905517578125,-8.984541589465737,-3.7300183024853464,-1.239096974286437
1718311092067678500,3.465678466796875,-9.02172244234681,-3.661974693828821,-1.169980548766628
1718311092117451800,3.51545166015625,-9.04134484218359,-3.6227988677382466,-1.1400851767186075
1718311092167224600,3.565224609375,-9.05814692390263,-3.597564765499532,-1.0853032737605273
1718311092216997600,3.61499755859375,-9.059643884462117,-3.5819463406071064,-1.1237884141732006
1718311092266770700,3.664770751953125,-9.099337012425064,-3.4964076995313165,-1.0712511483367533
1718311092316544500,3.71454443359375,-9.116588006955384,-3.4551351934224366,-1.0584160705525427
1718311092366317600,3.764317626953125,-9.113905636003613,-3.470843634685874,-1.0297362848393619
1718311092416090400,3.81409033203125,-9.125870214563607,-3.4429598947212097,-1.0173056962028144
1718311092465863400,3.863863525390625,-9.132064977550506,-3.439324460828304,-0.9730486213251948
1718311092515636700,3.91363671875,-9.132696845713257,-3.4466303999274968,-0.9407320865448564
1718311092565409500,3.963409423828125,-9.139969467064738,-3.421118357530236,-0.9629574354216456
1718311092615182600,4.0131826171875,-9.165794228672981,-3.370399393162131,-0.8938750583019107
1718311092664955600,4.06295556640625,-9.182121094095706,-3.314559432518482,-0.9342023194499314
1718311092714729700,4.112729736328125,-9.184298438134789,-3.3167367765575646,-0.9046051266308873
1718311092764502800,4.162502685546875,-9.175377465054392,-3.3341192885130644,-0.9308497210863977
1718311092814275800,4.21227587890625,-9.173272017207742,-3.3468130581304427,-0.9057081925019621
1718311092864048600,4.262048583984375,-9.175808257687091,-3.334324747957289,-0.9258527895819395
1718311092913821700,4.31182177734375,-9.190614781674743,-3.2962764645919203,-0.9151767164625227
1718311092963594800,4.3615947265625,-9.204212514394522,-3.2562805542901154,-0.9216815683118998
1718311093013367600,4.411367431640625,-9.207471808451414,-3.2643101314887404,-0.8585626296412199
1718311093063140600,4.461140625,-9.213285463166237,-3.2465199155151843,-0.8636354759261011
1718311093112914000,4.510913818359375,-9.244191473561525,-3.1859993958398696,-0.7514756621673703
1718311093162686700,4.560686767578125,-9.21564985421002,-3.274695624163747,-0.7201050299350172
1718311093212459800,4.610459716796875,-9.055998805958032,-3.68242565344423,-0.7739584929365664
1718311093262233900,4.66023388671875,-8.980475070679187,-3.894713774645328,-0.5938480460343882
1718311093312006700,4.710006591796875,-9.063401191169023,-3.7441102484628557,-0.08239322832268663
1718311093361779700,4.75977978515625,-9.11035115839243,-3.6261727280855176,-0.1508743790131062
1718311093411552800,4.809552734375,-9.174625769904255,-3.4031098226308822,-0.6445731113497167
1718311093461325600,4.85932568359375,-9.19783713414371,-3.2685137206584214,-0.9418029306467622
1718311093511098600,4.9090986328125,-9.192790956670045,-3.2571327872052787,-1.0266738285288215
1718311093560872000,4.958871826171875,-9.24072935040891,-3.1610587235897776,-0.887139904827997
1718311093610644700,5.008644775390625,-9.227447259509562,-3.2002301657661794,-0.8849473632197826
1718311093660417800,5.058417724609375,-9.22114962067008,-3.2336788463816046,-0.8271092875614762
1718311093710190600,5.108190673828125,-9.231520792558788,-3.2177389344498515,-0.7717283227317034
1718311093759963400,5.15796337890625,-9.21861104210317,-3.269187966658175,-0.7071074550654739
1718311093809736400,5.207736328125,-9.19440248351991,-3.3501135609805583,-0.6403788014650345
1718311093859510800,5.2575107421875,-9.187368347099422,-3.3768180280327793,-0.5997907704889774
1718311093909283600,5.30728369140625,-9.198682937318086,-3.3460376898437736,-0.5988734364483506
1718311093959056600,5.357056640625,-9.234015531983971,-3.261664585416019,-0.5146702452274039
1718311094008829700,5.40682958984375,-9.278044643324613,-3.1486291578665373,-0.4176140752393752
1718311094058602500,5.4566025390625,-9.27739816211462,-3.1503043976023792,-0.41934546560924496
1718311094108375600,5.50637548828125,-9.286793766969442,-3.1317396901249883,-0.34359289001058785
1718311094158148600,5.556148681640625,-9.303839594316482,-3.086868575002253,-0.2831972205576487
1718311094207921400,5.60592138671875,-9.2970714153558,-3.1055554475545883,-0.3006158450061455
1718311094257694500,5.655694580078125,-9.29733503472805,-3.1023131046324965,-0.3249669903978705
1718311094307467500,5.705467529296875,-9.313478360277413,-3.045177551220357,-0.39547907152716066
1718311094357240600,5.755240478515625,-9.301229119557142,-3.0811475670069455,-0.40503669854328034
1718311094407013600,5.805013671875,-9.291501506268977,-3.103248339655995,-0.45632180889416485
1718311094456786700,5.85478662109375,-9.351227952957153,-2.9328669308140873,-0.35102234589159487
1718311094506559500,5.9045595703125,-9.39075156957209,-2.813378089341521,-0.2628168967593461
