time,seconds_elapsed,z,y,x
1718311088620892200,0.01889208984375,-1.0966339111328125,-0.1639404296875,0.02197265625
1718311088670665200,0.068665283203125,-1.05010986328125,-0.029815673828125,0.1432037353515625
1718311088720438800,0.118438720703125,-1.3693084716796875,-0.0507354736328125,-0.058197021484375
1718311088770211600,0.168211669921875,-1.0501251220703125,-0.3539276123046875,0.130218505859375
1718311088819984600,0.217984619140625,-0.901641845703125,-0.3082275390625,-0.08160400390625
1718311088869757700,0.2677578125,-0.9568939208984375,-0.1527099609375,0.081939697265625
1718311088919530800,0.31753076171875,-0.47906494140625,-0.563232421875,0.3622894287109375
1718311088969303600,0.367303466796875,-0.696807861328125,-0.540374755859375,-0.0019683837890625
1718311089019076600,0.41707666015625,-0.7498016357421875,-0.594085693359375,-0.2034149169921875
1718311089068850000,0.466849853515625,-1.053619384765625,-0.3931732177734375,-0.103729248046875
1718311089118622700,0.516622802734375,-0.7875518798828125,-0.481964111328125,-0.1458282470703125
1718311089168395800,0.566395751953125,-0.826812744140625,-0.475555419921875,-0.080322265625
1718311089218168800,0.6161689453125,-0.7230377197265625,-0.5765838623046875,-0.1365509033203125
1718311089267941600,0.665941650390625,-0.9576263427734375,-0.495635986328125,-0.0921783447265625
1718311089317715700,0.7157158203125,-0.790069580078125,-0.52276611328125,-0.0894927978515625
1718311089367488500,0.765488525390625,-0.67999267578125,-0.501861572265625,-0.0555419921875
1718311089417261600,0.815261474609375,-0.7937469482421875,-0.570159912109375,-0.254974365234375
1718311089467034600,0.86503466796875,-0.755279541015625,-0.49639892578125,-0.1439056396484375
1718311089516807700,0.9148076171875,-0.9630279541015625,-0.45831298828125,-0.026123046875
1718311089566580700,0.964580810546875,-1.1153564453125,-0.38494873046875,-0.0919189453125
1718311089616353800,1.014353759765625,-0.79815673828125,-0.4631195068359375,-0.096343994140625
1718311089666126800,1.064126953125,-0.854644775390625,-0.4655303955078125,-0.1265716552734375
1718311089715899400,1.1138994140625,-0.9254302978515625,-0.4249267578125,-0.074981689453125
1718311089765672400,1.16367236328125,-0.90179443359375,-0.420166015625,-0.034271240234375
