time,seconds_elapsed,bpm
1718451813466412500,8.86241259765625,88
1718451821466412500,16.86241259765625,99
1718451827466412500,22.86241259765625,103
1718451832466412500,27.86241259765625,102
1718451833466412500,28.86241259765625,103
1718451842466412500,37.86241259765625,100
1718451846466412500,41.86241259765625,102
1718451851466412500,46.86241259765625,104
1718451853466412500,48.86241259765625,105
1718451862466412500,57.86241259765625,105
1718451865466412500,60.86241259765625,106
1718451871466412500,66.86241259765625,104
1718451873466412500,68.86241259765625,103
1718451881466412500,76.86241259765625,107.00000000000001
1718451885466412500,80.86241259765625,107.00000000000001
1718451888466412500,83.86241259765625,109
1718451893466412500,88.86241259765625,108
1718451902466412500,97.86241259765625,109
1718451907466412500,102.86241259765625,105
1718451909466412500,104.86241259765625,105
1718451917466412500,112.86241259765625,103
1718451918466412500,113.86241259765625,103
1718451926466412500,121.86241259765625,106
1718451928466412500,123.86241259765625,107.00000000000001
1718451936466412500,131.86241259765626,107.00000000000001
1718451938466412500,133.86241259765626,106
1718451944466412500,139.86241259765626,104
1718451949466412500,144.86241259765626,105
1718451957466412500,152.86241259765626,106
1718451960466412500,155.86241259765626,106
1718451967466412500,162.86241259765626,112
1718451969466412500,164.86241259765626,111
1718451973466412500,168.86241259765626,111
1718451981466412500,176.86241259765626,114
1718451983466412500,178.86241259765626,114
1718451988466412500,183.86241259765626,117
1718451997466412500,192.86241259765626,118
1718451998466412500,193.86241259765626,116
1718452006466412500,201.86241259765626,112
1718452009466412500,204.86241259765626,112
1718452013466412500,208.86241259765626,111
1718452018466412500,213.86241259765626,111
1718452027466412500,222.86241259765626,111
1718452029466412500,224.86241259765626,112
1718452037466412500,232.86241259765626,109
1718452038466412500,233.86241259765626,109
1718452043466412500,238.86241259765626,106
1718452050466412500,245.86241259765626,107.00000000000001
1718452057466412500,252.86241259765626,110
1718452062466412500,257.86241259765626,107.00000000000001
1718452064466412500,259.86241259765626,107.00000000000001
1718452071466412500,266.86241259765626,101
1718452077466412500,272.86241259765626,105
1718452080466412500,275.86241259765626,104
1718452084466412500,279.86241259765626,107.00000000000001
1718452091466412500,286.86241259765626,105
1718452095466412500,290.86241259765626,106
1718452098466412500,293.86241259765626,107.00000000000001
1718452107466412500,302.86241259765626,107.00000000000001
1718452108466412500,303.86241259765626,108
1718452117466412500,312.86241259765626,105
1718452118466412500,313.86241259765626,105
1718452127466412500,322.86241259765626,107.00000000000001
1718452129466412500,324.86241259765626,108
1718452137466412500,332.86241259765626,106
1718452141466412500,336.86241259765626,108
1718452143466412500,338.86241259765626,109
1718452152466412500,347.86241259765626,108
1718452154466412500,349.86241259765626,109
1718452158466412500,353.86241259765626,107.00000000000001
1718452165466412500,360.86241259765626,108
1718452168466412500,363.86241259765626,108
1718452177466412500,372.86241259765626,106
1718452178466412500,373.86241259765626,106
1718452183466412500,378.86241259765626,108
1718452192466412500,387.86241259765626,107.00000000000001
1718452197466412500,392.86241259765626,108
1718452198466412500,393.86241259765626,108
1718452203466412500,398.86241259765626,105
1718452211466412500,406.86241259765626,105
1718452217466412500,412.86241259765626,109
1718452219466412500,414.86241259765626,109
1718452223466412500,418.86241259765626,109
1718452232466412500,427.86241259765626,109
1718452235466412500,430.86241259765626,109
1718452240466412500,435.86241259765626,111
1718452244466412500,439.86241259765626,108
1718452248466412500,443.86241259765626,109
1718452253466412500,448.86241259765626,110
1718452262466412500,457.86241259765626,108
1718452267466412500,462.86241259765626,114
1718452271466412500,466.86241259765626,111
1718452273466412500,468.86241259765626,110
1718452282466412500,477.86241259765626,109
1718452287466412500,482.86241259765626,108
1718452290466412500,485.86241259765626,108
1718452297466412500,492.86241259765626,106
1718452300466412500,495.86241259765626,105
1718452307466412500,502.86241259765626,107.00000000000001
1718452310466412500,505.86241259765626,104
1718452314466412500,509.86241259765626,107.00000000000001
1718452322466412500,517.8624125976562,108
1718452326466412500,521.8624125976562,106
1718452328466412500,523.8624125976562,107.00000000000001
1718452337466412500,532.8624125976562,110
1718452340466412500,535.8624125976562,111
1718452347466412500,542.8624125976562,107.00000000000001
1718452349466412500,544.8624125976562,107.00000000000001
1718452354466412500,549.8624125976562,109
1718452362466412500,557.8624125976562,110
1718452367466412500,562.8624125976562,108
1718452369466412500,564.8624125976562,108
1718452373466412500,568.8624125976562,109
1718452381466412500,576.8624125976562,108
1718452383466412500,578.8624125976562,108
1718452390466412500,585.8624125976562,104
1718452395466412500,590.8624125976562,107.00000000000001
1718452402466412500,597.8624125976562,105
1718452403466412500,598.8624125976562,106
1718452412466412500,607.8624125976562,105
1718452413466412500,608.8624125976562,106
1718452422466412500,617.8624125976562,108
1718452424466412500,619.8624125976562,108
1718452428466412500,623.8624125976562,109
1718452437466412500,632.8624125976562,107.00000000000001
1718452441466412500,636.8624125976562,105
1718452443466412500,638.8624125976562,105
1718452450466412500,645.8624125976562,109
1718452456466412500,651.8624125976562,108
1718452458466412500,653.8624125976562,111
1718452464466412500,659.8624125976562,113
1718452471466412500,666.8624125976562,115
1718452477466412500,672.8624125976562,113
1718452478466412500,673.8624125976562,113
1718452487466412500,682.8624125976562,110
1718452488466412500,683.8624125976562,110
1718452495466412500,690.8624125976562,112
1718452502466412500,697.8624125976562,114
1718452505466412500,700.8624125976562,115
1718452508466412500,703.8624125976562,115
1718452517466412500,712.8624125976562,114
1718452518466412500,713.8624125976562,112
1718452524466412500,719.8624125976562,113
1718452532466412500,727.8624125976562,117
1718452536466412500,731.8624125976562,117
1718452541466412500,736.8624125976562,115
1718452543466412500,738.8624125976562,115
1718452552466412500,747.8624125976562,110
1718452553466412500,748.8624125976562,110
1718452558466412500,753.8624125976562,112
1718452567466412500,762.8624125976562,109
1718452572466412500,767.8624125976562,105
1718452573466412500,768.8624125976562,105
1718452582466412500,777.8624125976562,103
1718452585466412500,780.8624125976562,104
1718452588466412500,783.8624125976562,100
1718452597466412500,792.8624125976562,104
1718452602466412500,797.8624125976562,103
1718452603466412500,798.8624125976562,104
1718452612466412500,807.8624125976562,107.00000000000001
1718452613466412500,808.8624125976562,108
1718452618466412500,813.8624125976562,110
1718452626466412500,821.8624125976562,110
1718452630466412500,825.8624125976562,110
1718452633466412500,828.8624125976562,110
1718452642466412500,837.8624125976562,107.00000000000001
1718452647466412500,842.8624125976562,108
1718452652466412500,847.8624125976562,105
1718452653466412500,848.8624125976562,105
1718452662466412500,857.8624125976562,105
1718452667466412500,862.8624125976562,105
1718452670466412500,865.8624125976562,107.00000000000001
1718452674466412500,869.8624125976562,105
1718452680466412500,875.8624125976562,109
1718452687466412500,882.8624125976562,104
1718452688466412500,883.8624125976562,105
1718452697466412500,892.8624125976562,103
1718452702466412500,897.8624125976562,108
1718452707466412500,902.8624125976562,108
1718452709466412500,904.8624125976562,109
1718452714466412500,909.8624125976562,111
1718452721466412500,916.8624125976562,113
1718452725466412500,920.8624125976562,113
1718452728466412500,923.8624125976562,113
1718452737466412500,932.8624125976562,111
1718452742466412500,937.8624125976562,112
1718452745466412500,940.8624125976562,110
1718452749466412500,944.8624125976562,110
1718452753466412500,948.8624125976562,110
1718452762466412500,957.8624125976562,109
1718452765466412500,960.8624125976562,107.00000000000001
1718452772466412500,967.8624125976562,103
1718452777466412500,972.8624125976562,103
1718452781466412500,976.8624125976562,104
1718452783466412500,978.8624125976562,105
1718452790466412500,985.8624125976562,108
1718452795466412500,990.8624125976562,106
1718452798466412500,993.8624125976562,107.00000000000001
1718452804464057000,999.8600571289063,108
1718452808464057000,1003.8600571289063,108
1718452816464057000,1011.8600571289063,108
1718452818464057000,1013.8600571289063,107.00000000000001
1718452827464057000,1022.8600571289063,106
1718452829464057000,1024.8600571289062,106
1718452833464057000,1028.8600571289062,108
1718452842464057000,1037.8600571289062,107.00000000000001
1718452847464057000,1042.8600571289062,106
1718452849464057000,1044.8600571289062,105
1718452853464057000,1048.8600571289062,104
1718452862464057000,1057.8600571289062,106
1718452866464057000,1061.8600571289062,106
1718452870464057000,1065.8600571289062,106
1718452874464057000,1069.8600571289062,106
1718452880464057000,1075.8600571289062,106
1718452886464057000,1081.8600571289062,104
1718452891464057000,1086.8600571289062,107.00000000000001
1718452897464057000,1092.8600571289062,106
1718452901464057000,1096.8600571289062,106
1718452903464057000,1098.8600571289062,108
1718452912464057000,1107.8600571289062,106
1718452913464057000,1108.8600571289062,107.00000000000001
1718452919464057000,1114.8600571289062,109
1718452926464057000,1121.8600571289062,111
1718452931464057000,1126.8600571289062,110
1718452936464057000,1131.8600571289062,108
1718452938464057000,1133.8600571289062,109
1718452946464057000,1141.8600571289062,107.00000000000001
1718452949464057000,1144.8600571289062,104
1718452953464057000,1148.8600571289062,105
1718452960464057000,1155.8600571289062,107.00000000000001
1718452966464057000,1161.8600571289062,106
1718452971464057000,1166.8600571289062,101
1718452977464057000,1172.8600571289062,106
1718452982464057000,1177.8600571289062,103
1718452985464057000,1180.8600571289062,105
1718452988464057000,1183.8600571289062,105
1718452997464057000,1192.8600571289062,108
1718453000464057000,1195.8600571289062,108
1718453007464057000,1202.8600571289062,105
1718453008464057000,1203.8600571289062,104
1718453017464057000,1212.8600571289062,109
1718453022464057000,1217.8600571289062,109
1718453026464057000,1221.8600571289062,111
1718453030464057000,1225.8600571289062,110
1718453033464057000,1228.8600571289062,110
1718453042464057000,1237.8600571289062,113
1718453043464057000,1238.8600571289062,113
1718453052464057000,1247.8600571289062,115
1718453056464057000,1251.8600571289062,113
1718453060464057000,1255.8600571289062,114
1718453064464057000,1259.8600571289062,113
1718453069464057000,1264.8600571289062,110
1718453076464057000,1271.8600571289062,106
1718453078464057000,1273.8600571289062,107.00000000000001
1718453087464057000,1282.8600571289062,101
1718453091464057000,1286.8600571289062,103
1718453093464057000,1288.8600571289062,104
1718453100464057000,1295.8600571289062,98
1718453107464057000,1302.8600571289062,102
1718453112464057000,1307.8600571289062,96
1718453115464057000,1310.8600571289062,99
1718453122464057000,1317.8600571289062,96
1718453124464057000,1319.8600571289062,98
1718453132464057000,1327.8600571289062,106
1718453136464057000,1331.8600571289062,104
1718453141464057000,1336.8600571289062,107.00000000000001
1718453144464057000,1339.8600571289062,107.00000000000001
1718453150464057000,1345.8600571289062,105
1718453157464057000,1352.8600571289062,105
1718453159464057000,1354.8600571289062,105
1718453166464057000,1361.8600571289062,104
