time,seconds_elapsed,bpm
1718292425773628200,4.833628173828125,99
1718292426773628200,5.833628173828125,99
1718292431773628200,10.833628173828124,102
1718292436773628200,15.833628173828124,105
1718292445773628200,24.833628173828124,102
1718292446773628200,25.833628173828124,102
1718292451773628200,30.833628173828124,106
1718292495773628200,74.83362817382813,134
1718292497773628200,76.83362817382813,132
1718292505773628200,84.83362817382813,127
1718292506773628200,85.83362817382813,127
1718292511773628200,90.83362817382813,126
1718292525773628200,104.83362817382813,133
1718292530773628200,109.83362817382813,132
1718292531773628200,110.83362817382813,132
1718292536773628200,115.83362817382813,132
1718292541773628200,120.83362817382813,134
1718292550773628200,129.83362817382812,133
1718292555773628200,134.83362817382812,137
1718292557773628200,136.83362817382812,137
1718292561773628200,140.83362817382812,137
1718292570773628200,149.83362817382812,136
1718292575773628200,154.83362817382812,139.00000000000003
1718292579773628200,158.83362817382812,140
1718292583773628200,162.83362817382812,142
1718292587773628200,166.83362817382812,143
1718292591773628200,170.83362817382812,144
1718292599773628200,178.83362817382812,144
1718292604773628200,183.83362817382812,145
1718292607773628200,186.83362817382812,145
1718292611773628200,190.83362817382812,145
1718292618773628200,197.83362817382812,144
1718292621773628200,200.83362817382812,144
1718292627773628200,206.83362817382812,147
1718292632773628200,211.83362817382812,150
1718292636773628200,215.83362817382812,152
1718292641773628200,220.83362817382812,153
1718292647773628200,226.83362817382812,151
1718292652773628200,231.83362817382812,151
1718292660773628200,239.83362817382812,148
1718292663773628200,242.83362817382812,148
1718292670773628200,249.83362817382812,147
1718292672773628200,251.83362817382812,146
1718292678773628200,257.8336281738281,147
1718292682773628200,261.8336281738281,140
1718292688773628200,267.8336281738281,141
1718292691773628200,270.8336281738281,139.00000000000003
1718292696773628200,275.8336281738281,135
1718292701773628200,280.8336281738281,135
1718292706773628200,285.8336281738281,137
1718292714773628200,293.8336281738281,140
1718292716773628200,295.8336281738281,139.00000000000003
1718292724773628200,303.8336281738281,139.00000000000003
1718292729773628200,308.8336281738281,141
1718292733773628200,312.8336281738281,141
1718292736773628200,315.8336281738281,137
1718292741773628200,320.8336281738281,139.00000000000003
1718292750773628200,329.8336281738281,142
1718292751773628200,330.8336281738281,142
1718292759773628200,338.8336281738281,144
1718292764773628200,343.8336281738281,145
1718292770773628200,349.8336281738281,145
1718292772773628200,351.8336281738281,145
1718292776773628200,355.8336281738281,143
1718292784773628200,363.8336281738281,141
1718292786773628200,365.8336281738281,141
1718292792773628200,371.8336281738281,143
1718292798773628200,377.8336281738281,143
1718292805773628200,384.8336281738281,142
1718292806773628200,385.8336281738281,142
1718292815773628200,394.8336281738281,143
1718292817773628200,396.8336281738281,141
1718292824773628200,403.8336281738281,140
1718292826773628200,405.8336281738281,140
